127.0.0.1 - - [27/Jan/2025:19:33:34 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /shopping-cart/ HTTP/1.1" 200 10602
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /shopping-cart/css/changes.css HTTP/1.1" 200 3229
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /shopping-cart/ShowImage?pid=P20240501044843 HTTP/1.1" 200 41626
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045030 HTTP/1.1" 200 50512
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045145 HTTP/1.1" 200 47913
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045230 HTTP/1.1" 200 114436
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045321 HTTP/1.1" 200 64278
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /shopping-cart/ShowImage?pid=P20240503082416 HTTP/1.1" 200 53096
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:33:36 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:17 +0530] "GET /shopping-cart/ HTTP/1.1" 200 10602
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:17 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045030 HTTP/1.1" 200 50512
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:17 +0530] "GET /shopping-cart/ShowImage?pid=P20240501044843 HTTP/1.1" 200 41626
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:17 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045145 HTTP/1.1" 200 47913
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:17 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045230 HTTP/1.1" 200 114436
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:17 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045321 HTTP/1.1" 200 64278
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:17 +0530] "GET /shopping-cart/ShowImage?pid=P20240503082416 HTTP/1.1" 200 53096
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:29 +0530] "GET /shopping-cart/ HTTP/1.1" 200 10602
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:29 +0530] "GET /shopping-cart/ShowImage?pid=P20240501044843 HTTP/1.1" 200 41626
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:29 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045030 HTTP/1.1" 200 50512
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:29 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045145 HTTP/1.1" 200 47913
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:29 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045321 HTTP/1.1" 200 64278
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:29 +0530] "GET /shopping-cart/ShowImage?pid=P20240501045230 HTTP/1.1" 200 114436
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:29 +0530] "GET /shopping-cart/ShowImage?pid=P20240503082416 HTTP/1.1" 200 53096
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:31 +0530] "POST /shopping-cart/AddtoCart?uid=null&pid=P20240501045030&pqty=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Jan/2025:19:35:31 +0530] "GET /shopping-cart/login.jsp?message=Session%20Expired,%20Login%20Again%20to%20Continue! HTTP/1.1" 200 6992
